"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12996","ValidateCartItem","firefox","2026-08-20","passed","2026-08-20","","UseStoreStatePOMV25.spec.ts","",""
"","8390","ValidateLogin","chromium","2026-08-20","passed","2026-08-20","","UseStoreStatePOMV25.spec.ts","",""
"","8570","ValidateAddToCart","firefox","2026-08-20","passed","2026-08-20","","UseStoreStatePOMV25.spec.ts","",""
"","13215","ValidateCartItem","chromium","2026-08-20","passed","2026-08-20","","UseStoreStatePOMV25.spec.ts","",""
"","2619","authenticate","setup","2026-08-20","passed","2026-08-20","","auth.setup.ts","",""
"","2716","authenticateuser","setup","2026-08-20","passed","2026-08-20","","golbal.setup.ts","",""
"","7899","ValidateAddToCart","chromium","2026-08-20","passed","2026-08-20","","UseStoreStatePOMV25.spec.ts","",""
"","7661","ValidateLogin","webkit","2026-08-20","passed","2026-08-20","","UseStoreStatePOMV25.spec.ts","",""
"","13679","ValidateCartItem","webkit","2026-08-20","passed","2026-08-20","","UseStoreStatePOMV25.spec.ts","",""
"","8014","ValidateAddToCart","webkit","2026-08-20","passed","2026-08-20","","UseStoreStatePOMV25.spec.ts","",""
"","19561","ValidateLogin","firefox","2026-08-20","passed","2026-08-20","","UseStoreStatePOMV25.spec.ts","",""
